nomo,poentaro,krompoentoj,esperantisto konenda,mondgrava homo,konata artisto
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE
